order_id,timestamp,restaurant_id,customer_id,order_type,items,total_amount,payment_method,order_status,created_at
ORD-20250704-496081,2025-07-04T10:04:16.245498,REST-SHJ-001,CUST-10071,takeaway,"[{""item_id"": ""ITEM-503"", ""name"": ""Kulfi"", ""category"": ""Dessert"", ""quantity"": 1, ""unit_price"": 20.55, ""subtotal"": 20.55}]",20.55,cash,delivered,2025-07-04T10:04:16.245498
ORD-20250704-577421,2025-07-04T10:09:56.245498,REST-SHJ-001,CUST-10329,takeaway,"[{""item_id"": ""ITEM-303"", ""name"": ""Lamb Rogan Josh"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 66.2, ""subtotal"": 66.2}, {""item_id"": ""ITEM-401"", ""name"": ""Naan"", ""category"": ""Bread"", ""quantity"": 1, ""unit_price"": 8.37, ""subtotal"": 8.37}, {""item_id"": ""ITEM-103"", ""name"": ""Chicken 65"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 36.21, ""subtotal"": 72.42}, {""item_id"": ""ITEM-301"", ""name"": ""Butter Chicken"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 51.61, ""subtotal"": 103.22}]",250.21,cash,completed,2025-07-04T10:09:56.245498
ORD-20250704-956750,2025-07-04T10:35:44.245498,REST-DXB-001,CUST-10435,delivery,"[{""item_id"": ""ITEM-406"", ""name"": ""Vegetable Biryani"", ""category"": ""Rice"", ""quantity"": 3, ""unit_price"": 40.14, ""subtotal"": 120.42}, {""item_id"": ""ITEM-501"", ""name"": ""Gulab Jamun (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 3, ""unit_price"": 14.75, ""subtotal"": 44.25}, {""item_id"": ""ITEM-202"", ""name"": ""Dal Makhani"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 39.87, ""subtotal"": 79.74}]",244.41,wallet,delivered,2025-07-04T10:35:44.245498
ORD-20250704-337123,2025-07-04T10:40:51.245498,REST-AUH-002,CUST-10471,dine_in,"[{""item_id"": ""ITEM-203"", ""name"": ""Palak Paneer"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 40.15, ""subtotal"": 80.3}, {""item_id"": ""ITEM-401"", ""name"": ""Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 7.75, ""subtotal"": 23.25}, {""item_id"": ""ITEM-501"", ""name"": ""Gulab Jamun (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 1, ""unit_price"": 15.7, ""subtotal"": 15.7}, {""item_id"": ""ITEM-403"", ""name"": ""Butter Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 8.6, ""subtotal"": 25.8}]",145.05,wallet,delivered,2025-07-04T10:40:51.245498
ORD-20250704-646994,2025-07-04T11:25:06.245498,REST-DXB-002,CUST-10069,dine_in,"[{""item_id"": ""ITEM-203"", ""name"": ""Palak Paneer"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 43.16, ""subtotal"": 129.48}, {""item_id"": ""ITEM-101"", ""name"": ""Samosa (2 pcs)"", ""category"": ""Starter"", ""quantity"": 1, ""unit_price"": 18.1, ""subtotal"": 18.1}, {""item_id"": ""ITEM-104"", ""name"": ""Aloo Tikki Chaat"", ""category"": ""Starter"", ""quantity"": 1, ""unit_price"": 22.53, ""subtotal"": 22.53}]",170.11,cash,delivered,2025-07-04T11:25:06.245498
ORD-20250704-963626,2025-07-04T11:40:35.245498,REST-AUH-002,CUST-10475,delivery,"[{""item_id"": ""ITEM-504"", ""name"": ""Gajar Halwa"", ""category"": ""Dessert"", ""quantity"": 3, ""unit_price"": 20.98, ""subtotal"": 62.94}, {""item_id"": ""ITEM-601"", ""name"": ""Masala Chai"", ""category"": ""Beverage"", ""quantity"": 2, ""unit_price"": 12.4, ""subtotal"": 24.8}, {""item_id"": ""ITEM-201"", ""name"": ""Paneer Butter Masala"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 46.47, ""subtotal"": 92.94}]",180.68,wallet,delivered,2025-07-04T11:40:35.245498
ORD-20250704-931635,2025-07-04T11:53:29.245498,REST-AUH-001,CUST-10277,dine_in,"[{""item_id"": ""ITEM-302"", ""name"": ""Chicken Tikka Masala"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 48.91, ""subtotal"": 48.91}, {""item_id"": ""ITEM-103"", ""name"": ""Chicken 65"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 37.58, ""subtotal"": 75.16}, {""item_id"": ""ITEM-101"", ""name"": ""Samosa (2 pcs)"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 18.57, ""subtotal"": 55.71}]",179.78,cash,completed,2025-07-04T11:53:29.245498
ORD-20250704-173630,2025-07-04T11:56:11.245498,REST-AUH-002,CUST-10280,dine_in,"[{""item_id"": ""ITEM-406"", ""name"": ""Vegetable Biryani"", ""category"": ""Rice"", ""quantity"": 2, ""unit_price"": 43.21, ""subtotal"": 86.42}, {""item_id"": ""ITEM-305"", ""name"": ""Chicken Biryani"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 48.39, ""subtotal"": 145.17}, {""item_id"": ""ITEM-405"", ""name"": ""Jeera Rice"", ""category"": ""Rice"", ""quantity"": 1, ""unit_price"": 18.39, ""subtotal"": 18.39}, {""item_id"": ""ITEM-603"", ""name"": ""Sweet Lassi"", ""category"": ""Beverage"", ""quantity"": 2, ""unit_price"": 14.42, ""subtotal"": 28.84}, {""item_id"": ""ITEM-302"", ""name"": ""Chicken Tikka Masala"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 51.96, ""subtotal"": 103.92}]",382.74,card,completed,2025-07-04T11:56:11.245498
ORD-20250704-598730,2025-07-04T11:58:19.245498,REST-DXB-002,CUST-10253,takeaway,"[{""item_id"": ""ITEM-604"", ""name"": ""Fresh Lime Soda"", ""category"": ""Beverage"", ""quantity"": 2, ""unit_price"": 11.96, ""subtotal"": 23.92}, {""item_id"": ""ITEM-405"", ""name"": ""Jeera Rice"", ""category"": ""Rice"", ""quantity"": 2, ""unit_price"": 18.69, ""subtotal"": 37.38}, {""item_id"": ""ITEM-603"", ""name"": ""Sweet Lassi"", ""category"": ""Beverage"", ""quantity"": 2, ""unit_price"": 15.45, ""subtotal"": 30.9}, {""item_id"": ""ITEM-301"", ""name"": ""Butter Chicken"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 50.9, ""subtotal"": 152.7}, {""item_id"": ""ITEM-102"", ""name"": ""Paneer Tikka"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 35.81, ""subtotal"": 107.43}]",352.33,wallet,delivered,2025-07-04T11:58:19.245498
ORD-20250704-201401,2025-07-04T12:11:42.245498,REST-DXB-002,CUST-10006,takeaway,"[{""item_id"": ""ITEM-602"", ""name"": ""Mango Lassi"", ""category"": ""Beverage"", ""quantity"": 1, ""unit_price"": 17.74, ""subtotal"": 17.74}, {""item_id"": ""ITEM-101"", ""name"": ""Samosa (2 pcs)"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 18.1, ""subtotal"": 36.2}, {""item_id"": ""ITEM-304"", ""name"": ""Fish Curry"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 57.1, ""subtotal"": 57.1}, {""item_id"": ""ITEM-102"", ""name"": ""Paneer Tikka"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 35.81, ""subtotal"": 107.43}, {""item_id"": ""ITEM-303"", ""name"": ""Lamb Rogan Josh"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 62.25, ""subtotal"": 124.5}]",342.97,wallet,completed,2025-07-04T12:11:42.245498
